Antibody Name,Target Protein,Performance  ,Vendor,Catalog no. ,Clone,Fluorophore,Research Resource Identifier,FILTER SET,Note,Link
mCD49b-647,ms_CD49b,*,BioLegend,103511,HMα2,Alexa Fluor 647,AB_528830,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-mouse-cd49b-antibody-3318
NCAM-647,NCAM/CD56,*,BioLegend,362513,5.1H11,Alexa Fluor 647,AB_2564086,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-human-cd56-ncam-antibody-10244
NCAM-e660,NCAM/CD56,*,ThermoFisher,50-0565-80,5tukon56,eFluor 660,AB_2574160,647/Cy5,,https://www.thermofisher.com/antibody/product/CD56-NCAM-Antibody-clone-5tukon56-Monoclonal/50-0565-80
pAKT-647,pAKT,*,CST,4075,D9E,Alexa Fluor 647,AB_10691856,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/phospho-akt-ser473-d9e-xp-rabbit-mab-alexa-fluor-647-conjugate/4075
pERK-647,pERK (T202/Y204),*,CST,4375,E10,Alexa Fluor 647,AB_10706777,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/phospho-p44-42-mapk-erk1-2-thr202-tyr204-e10-mouse-mab-alexa-fluor-647-conjugate/4375
pERK-647,pERK (T202/Y204),*,BioLegend,369503,6B8B69,Alexa Fluor 647,AB_2571895,647/Cy5,,https://www.biolegend.com/en-us/products/alexa-fluor-647-anti-erk1-2-phospho-thr202-tyr204-antibody-12924
pIKBa-660,pIKBa,*,eBioscience,50-9035-41,RILYB3R,eFluor 660,AB_2574310,647/Cy5,,https://www.thermofisher.com/antibody/product/Phospho-IkB-alpha-Ser32-Ser36-Antibody-clone-RILYB3R-Monoclonal/50-9035-41
YAP-647,YAP,*,CST,38707S,D8H1X,Alexa Fluor 647,,647/Cy5,,https://www.cellsignal.com/products/antibody-conjugates/yap-d8h1x-xp-rabbit-mab-alexa-fluor-647-conjugate/38707
anit-FANCD2,FANCD2,*,Bethyl,IHC-00624,Polyclonal,N/D,AB_10752755,N/D,,https://www.bethyl.com/product/IHC-00624/FANCD2+IHC+Antibody
anit-pcJUN,p-cJUN,*,Santa Cruz,SC-822,KM-1,N/D,AB_627262 ,N/D,,https://www.scbt.com/scbt/product/p-c-jun-antibody-km-1
anti-AXL,AXL,*,CST,8661,C89E7,N/D,AB_11217435,N/D,,https://www.cellsignal.com/products/primary-antibodies/axl-c89e7-rabbit-mab/8661
anti-CXCR5,CXCR5,*,GeneTex,GTX100351,Polyclonal,N/D,AB_1240668,N/D,,http://www.genetex.com/CXCR5-antibody-C1C2-Internal-GTX100351.html
anti-CXCR5,CXCR5,*,R&D,MAB-190-SP,51505,N/D,AB_2292654,N/D,,https://www.rndsystems.com/products/human-cxcr5-antibody-51505_mab190
anti-FOXO3a,FOXO3a,*,CST,2497,75D8,N/D,AB_836876,N/D,,https://www.cellsignal.com/products/primary-antibodies/foxo3a-75d8-rabbit-mab/2497
anti-GZMB,Granzyme B,*,Abcam,AB4059,Polyclonal,N/D,AB_304251,N/D,,http://www.abcam.com/granzyme-b-antibody-ab4059.html
anti-PD1,PD-1,*,Abcam,AB63477,Polyclonal,N/D,AB_2159165,N/D,,http://www.abcam.com/pd1-antibody-ab92484.html
anti-PD1,PD-1,*,ThermoFisher,14-9985-81,J43,N/D,AB_468663,N/D,,https://www.thermofisher.com/antibody/product/CD279-PD-1-Antibody-clone-J43-Monoclonal/14-9985-81
anti-PD1,PD-1,*,R&D,AF1021,Polyclonal,N/D,AB_354541,N/D,,https://www.rndsystems.com/products/mouse-pd-1-antibody_af1021
anti-RFP,RFP,*,ThermoFisher,R10367,Polyclonal,N/D,AB_2315269,N/D,,https://www.thermofisher.com/antibody/product/RFP-Tag-Antibody-Polyclonal/R10367
CD11C-BV570,CD11C,*,BioLegend,117331,N418,BV570,AB_10900261 ,N/D,,https://www.biolegend.com/en-us/products/brilliant-violet-570-anti-mouse-cd11c-antibody-7396
CD45-BV785,CD45,*,BioLegend,304047,HI30,BV785,AB_2563128,N/D,,https://www.biolegend.com/en-us/products/brilliant-violet-785-anti-human-cd45-antibody-9325
LY6G-BV570,LY6G,*,BioLegend,127629,1A8,BV570,AB_10899738,N/D,,https://www.biolegend.com/en-us/products/brilliant-violet-570-anti-mouse-ly-6g-antibody-7393
