Cell_ID,clust_ID,X_position,Y_position,CMD_X,CMD_Y
2468,7,29891,24584,-0.21050983222817,-0.0710090268021764
2469,8,29894,24708,-0.199753012261909,0.147120786818401
2470,7,29889,25054,-0.166353878822529,-0.0556813425250546
2471,3,29889,25482,0.155298988099304,0.123620594804611
2472,3,29892,24205,0.225072666570604,0.0392014379518278
2473,5,29892,25071,0.0805512051407301,-0.138873596602016
2474,7,29901,24853,-0.190679112785699,-0.1376101475801
2475,7,29897,25554,-0.183450154634165,-0.0583116831572707
2476,6,29897,25939,-0.0478996777535865,-0.129668844664942
2477,4,29899,25975,0.193586185301587,-0.0402943649780537
2478,4,29901,24436,0.148962889950483,-0.121930163260936
2479,7,29903,24726,-0.197875459439856,0.0108738804778147
2480,5,29903,25143,0.132226826053549,-0.142211377175695
2481,1,29909,24366,-0.142551768661346,0.200262263720553
2482,8,29908,25209,-0.209728330649341,0.149497261300505
2483,5,29909,24084,0.0967807505993343,-0.115999576118591
2484,8,29913,25615,-0.219926675497748,0.0352603637725185
2485,1,29912,24060,-0.0596630377882093,0.0856529354058156
2486,1,29913,25659,-0.0816144971949896,0.171049855789035
2487,7,29919,25947,-0.226954819886929,0.000919930375392605
2488,8,29912,25600,-0.217749614737282,0.116819331052656
2489,3,29918,24769,0.107738702681374,0.0379155303699107
2490,2,29916,24891,0.0329807703996091,0.191588539471252
2491,7,29922,24094,-0.0928132744671389,-0.0701355719205191
2492,8,29920,25815,-0.168878349751497,0.153445620993135
2493,1,29924,24418,-0.146587383018779,0.187139213456376
2494,3,29926,24919,0.159795296816312,0.150617314400483
2495,3,29925,25684,0.227821309571566,0.0478703008529691
2496,4,29929,24282,0.192950016380034,-0.0749098435506267
2497,7,29929,25100,-0.197205278074994,-0.0998210434478035
2498,2,29927,24877,0.00818640099550673,0.162891347765033
2499,1,29932,25139,-0.0303122737301386,0.220932947892348
2500,1,29933,24608,-0.100916459960114,0.214840158628631
2501,5,29926,24729,0.0212877282778816,-0.18692443743884
2502,3,29935,25006,0.164726618524495,0.147447728582234
2503,8,29930,25211,-0.160147323205584,0.116392026519595
2504,3,29932,25459,0.224162162886346,0.0540845068453109
2505,2,29938,24985,0.0877623545142195,0.212124396983684
2506,3,29934,25695,0.235217376284687,0.0279698666648302
2507,1,29941,24596,-0.0952372939116593,0.211555869977216
2508,3,29936,24672,0.0875772435835535,0.0429605328008975
2509,7,29944,24733,-0.174033637196827,-0.112261859989627
2510,1,29937,24760,-0.10731240201873,0.213484330699312
2511,7,29933,25943,-0.215098936228416,-0.0120089896190395
2512,7,29943,25955,-0.060405036491442,-0.0287992066721882
2513,4,29942,24238,0.176593140097465,0.0105985855528428
2514,6,29942,25302,-0.0524238548952736,-0.135816591364304
2515,1,29943,25441,-0.123685898806009,0.232565736510907
2516,1,29944,24107,-0.122217635480673,0.130856217236712
2517,3,29946,24866,0.04187750159884,0.0610818174866625
2518,1,29944,24337,-0.109271403131695,0.15046956574775
2519,8,29949,25416,-0.229929726097812,0.0840429701920332
2520,4,29945,25686,0.216288294728904,-0.029498931971615
2521,7,29948,25281,-0.180088039968655,-0.0387547545511154
2522,7,29947,24697,-0.154665794992909,-0.126576361678872
2523,4,29955,24916,0.187505957904104,-0.00372261211352254
2524,4,29955,24499,0.184598893519123,-0.0868251762342551
2525,1,29954,24188,-0.138896226279781,0.202688035815855
2526,3,29957,25326,0.155457225396696,0.144334397564925
2527,6,29956,25089,-0.03197049896039,-0.2107602910175
2528,8,29955,25502,-0.20960124194995,0.0203720675412407
2529,5,29963,24571,0.0414334361546153,-0.114259718497074
2530,6,29964,25966,-0.0960190631089188,-0.16599804516037
2531,7,29963,24290,-0.222817896446836,-0.0303444022454574
2532,7,29966,25246,-0.167663796158856,-0.126571829237613
2533,5,29964,25003,0.121238414877849,-0.154978955899323
2534,1,29969,25669,-0.0818324944164093,0.230401210871961
2535,7,29967,24277,-0.217026684345277,-0.0542403347279229
2536,8,29972,25027,-0.0583219977157558,0.0330379748358764
2537,4,29970,24105,0.163791061997496,-0.0911346402712785
2538,3,29979,24141,0.10056646165884,0.08320655059136
2539,6,29979,25516,-0.0578422480351318,-0.0838124083394824
2540,6,29982,25172,-0.0897835404122863,-0.0955916169390448
2541,7,29987,24619,-0.188894985109482,-0.0517533724824364
2542,7,29984,25324,-0.171355242437887,-0.0402256875813733
2543,7,29988,25559,-0.134242931899536,-0.0367127258538618
2544,7,29977,25200,-0.162915967640576,-0.0347488071326042
2545,6,29985,24074,-0.0399968638887535,-0.198111507129533
2546,5,29987,24583,0.0813060053079538,-0.196268824571245
2547,2,29987,25154,0.0195665972157992,0.225514243576575
2548,4,29990,24657,0.101907729098163,-0.0612861224929136
2549,1,29988,24890,-0.159963755231476,0.205210076254909
2550,7,29995,25197,-0.173332174283067,-0.0235623487185845
2551,4,29996,24300,0.152665145951732,0.00372763910680483
2552,6,29997,25266,-0.0315458758055404,-0.201575946771714
2553,1,29997,25890,-0.159830076542223,0.17609145473714
2554,2,29996,24977,0.126076137391619,0.167423774037292
2555,6,29996,25165,-0.141589174238281,-0.167753016090546
2556,2,30000,24874,0.0327566857769711,0.226246681463827
2557,3,29996,24130,0.0483750724739494,0.0577453622928361
2558,4,30003,24176,0.179351161579702,-0.0943368315382908
2559,7,30007,24074,-0.184181977736894,-0.102451653431553
2560,8,30009,24688,-0.18730675949915,0.157631787300003
2561,8,30016,24599,-0.171636168697833,0.170939874267026
2562,6,30003,25166,-0.0498313554560552,-0.181774108348381
2563,8,30014,25218,-0.139553527609833,0.13079482071507
2564,3,30015,24461,0.220604947399135,0.0405137030481777
2565,8,30020,25631,-0.205747744977536,0.125702065518856
2566,7,30014,24094,-0.183451046296782,-0.101638415632206
2567,7,30017,24643,-0.168306210012783,-0.0580445933651546
2568,5,30011,24855,-0.00205374276034402,-0.206956803614684
2569,6,30013,25732,-0.0668802617495862,-0.119952657238069
2570,6,30016,24831,-0.161086514798933,-0.161611461021353
2571,2,30016,25460,0.121640743622789,0.15117325464029
2572,1,30018,25875,-0.0403331612648411,0.0921770254164819
2573,8,30025,25912,-0.222553699913608,0.099432416686297
2574,4,30022,24201,0.160467542528411,-0.0870004188431086
2575,7,30027,25691,-0.216390176664048,-0.0513029084357344
2576,7,30029,24018,-0.18128446973772,0.0069025961428993
2577,3,30027,25478,0.19907915188396,0.0762140280606305
2578,6,30025,25721,-0.156188992773466,-0.174325219236395
2579,5,30030,24887,0.00250091286948625,-0.197108526033467
2580,6,30027,24174,-0.131751174303858,-0.198010207212238
2581,8,30031,24861,-0.184670220762094,0.156797709094187
2582,3,30028,24090,0.175841883174497,0.140433477330826
2583,8,30037,25652,-0.234251974129495,0.0622891415304457
2584,2,30037,24074,0.0634116843913742,0.219092295457624
2585,6,30037,24623,-0.0242028558229527,-0.203548491929519
2586,2,30036,24779,0.087248620722016,0.178390389210837
2587,3,30039,24369,0.229524395396474,0.0134276658070087
2588,7,30041,25507,-0.199364599286456,-0.0214908925363862
2589,1,30035,25873,-0.016286004079077,0.0724303453711065
2590,4,30040,24831,0.201280538425498,-0.0162570586346691
2591,3,30042,25055,0.123763499371876,0.0683152269317639
2592,7,30045,24856,-0.226972474101635,-0.0137653586578855
2593,7,30048,25907,-0.157342437672768,-0.0886087439085853
2594,1,30045,24194,-0.108140808255789,0.144350468722994
2595,8,30047,24458,-0.0604675116891599,0.0554198981423993
2596,7,30052,25378,-0.17139606288897,-0.105498373565971
2597,7,30055,25317,-0.180377953866439,-0.0382464701384083
2598,3,30050,24091,0.218005945093078,0.0557379633366756
2599,6,30064,25921,-0.00784969122837787,-0.180975462870227
2600,8,30056,24642,-0.0688052870463476,0.0534536747991615
2601,6,30056,24522,-0.155674463978256,-0.171197390369171
2602,2,30061,24981,0.0898452096452385,0.173903129541547
