Cell_ID,clust_ID,X_position,Y_position,CD45,e-Cadherin
712181,2,12072,17621,-1043,471
812678,2,9662,21775,-846,508
702967,2,9785,19278,-1136,743
812479,3,9605,20446,-214,83
818023,2,11277,20848,-1250,585
712302,3,12106,17461,-1172,-735
699222,3,6625,17636,-953,-1132
708570,2,11107,16235,-562,526
809712,3,8440,23885,-557,-779
699585,1,7399,18850,234,-401
712226,2,12090,18760,-1092,733
702212,2,9311,19238,-593,91
809161,1,6653,23903,177,-714
815049,2,10350,20157,-791,434
699851,3,8032,19810,-69,-1630
713051,2,12297,16969,-846,529
820556,2,12337,22013,-1737,643
816550,2,10778,22667,-1458,743
705954,3,10551,18734,-809,-934
708777,1,11153,16063,183,-1744
818918,3,11610,22037,-544,-705
810728,2,8993,20385,-229,455
704319,1,10185,19071,480,-650
815213,2,10392,23097,-607,372
817224,2,11034,23032,-544,545
703368,2,9950,19784,-566,750
699269,1,6902,16192,77,-618
705330,2,10417,18079,-865,434
818496,2,11448,22259,-400,583
814956,1,10314,22172,547,-350
808992,3,5302,23977,-287,-668
713664,2,12473,19898,-97,304
812390,2,9572,21834,-651,472
698524,3,3922,17577,-386,-803
702728,2,9671,18404,-1684,383
820399,2,12260,20121,-989,669
711846,2,11999,18080,-740,660
815027,2,10342,22290,-1191,196
817585,3,11137,20731,-757,89
699391,1,7153,18979,203,-574
698608,3,4105,16016,-38,-745
706517,2,10670,17472,-911,55
810797,2,9021,22532,-1383,339
698139,3,3487,18558,-631,-509
817043,2,10959,22412,-1282,380
704832,3,10309,18765,-12,-1541
813659,2,9955,20419,-925,437
711975,2,12025,18766,-607,166
819704,2,11957,22771,-382,404
712529,2,12172,18424,-1282,502
811735,2,9350,20704,-774,357
698990,3,5190,17682,-1617,-1079
812283,2,9539,22105,-1650,216
819599,2,11916,20445,-281,652
820925,2,12480,21972,-607,654
698579,1,4026,16053,299,-528
813947,2,10035,22484,-1969,383
702606,2,9606,19501,-220,436
713238,2,12355,17889,-1172,504
820909,2,12469,23450,-1230,728
810679,2,8973,23112,-982,436
